id,name,owner,repository,repository_url,homepage_url,primary_category,project_type,official_status,score,stars,forks,open_issues,primary_language,license,checked_at
n8n-io/n8n,n8n,n8n-io,n8n-io/n8n,https://github.com/n8n-io/n8n,https://n8n.io,D.20,MCP server,unclear,89.5,195550,59149,1456,TypeScript,NOASSERTION,2026-07-07T18:41:11.613161+00:00
openinterpreter/openinterpreter,openinterpreter,openinterpreter,openinterpreter/openinterpreter,https://github.com/openinterpreter/openinterpreter,http://openinterpreter.com/,C.13,application,unclear,84.8,64297,5596,274,Rust,Apache-2.0,2026-07-07T17:40:12.538631+00:00
ollama/ollama,ollama,ollama,ollama/ollama,https://github.com/ollama/ollama,https://ollama.com,I.64,gateway,unclear,83.5,175659,16870,3382,Go,MIT,2026-07-07T18:40:47.562796+00:00
browser-use/browser-use,browser-use,browser-use,browser-use/browser-use,https://github.com/browser-use/browser-use,https://browser-use.com,B.6,framework,unclear,83.5,103321,11433,287,Python,MIT,2026-07-07T18:39:59.378131+00:00
microsoft/semantic-kernel,semantic-kernel,microsoft,microsoft/semantic-kernel,https://github.com/microsoft/semantic-kernel,https://aka.ms/semantic-kernel,J.81,framework,unclear,83.0,28280,4669,261,C#,MIT,2026-07-07T17:39:48.385643+00:00
weaviate/weaviate,weaviate,weaviate,weaviate/weaviate,https://github.com/weaviate/weaviate,https://weaviate.io/developers/weaviate/,F.43,framework,unclear,82.9,16534,1339,578,Go,BSD-3-Clause,2026-07-07T18:39:47.398831+00:00
qdrant/qdrant,qdrant,qdrant,qdrant/qdrant,https://github.com/qdrant/qdrant,https://qdrant.tech,F.43,framework,unclear,82.8,33008,2462,617,Rust,Apache-2.0,2026-07-07T18:39:53.404611+00:00
langchain-ai/langchain,langchain,langchain-ai,langchain-ai/langchain,https://github.com/langchain-ai/langchain,https://docs.langchain.com/langchain/,B.8,framework,unclear,82.5,141208,23472,404,Python,MIT,2026-07-07T17:39:30.343690+00:00
letta-ai/letta,letta,letta-ai,letta-ai/letta,https://github.com/letta-ai/letta,https://docs.letta.com/,B.6,framework,unclear,82.5,23699,2511,48,Python,Apache-2.0,2026-07-07T18:39:35.302324+00:00
vllm-project/vllm,vllm,vllm-project,vllm-project/vllm,https://github.com/vllm-project/vllm,https://vllm.ai,I.64,gateway,unclear,82.4,85614,19077,5597,Python,Apache-2.0,2026-07-07T18:40:59.585666+00:00
langfuse/langfuse,langfuse,langfuse,langfuse/langfuse,https://github.com/langfuse/langfuse,https://langfuse.com,H.53,observability platform,unclear,82.4,30629,3215,689,TypeScript,NOASSERTION,2026-07-07T18:40:29.423218+00:00
run-llama/llama_index,llama_index,run-llama,run-llama/llama_index,https://github.com/run-llama/llama_index,https://developers.llamaindex.ai,F.38,library,unclear,81.7,50709,7705,489,Python,MIT,2026-07-07T18:39:41.391226+00:00
langchain-ai/langgraph,langgraph,langchain-ai,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,https://docs.langchain.com/oss/python/langgraph/,B.8,framework,unclear,81.3,36718,6161,602,Python,MIT,2026-07-07T17:39:36.423833+00:00
SWE-agent/SWE-agent,SWE-agent,SWE-agent,SWE-agent/SWE-agent,https://github.com/SWE-agent/SWE-agent,https://swe-agent.com,C.13,application,unclear,80.3,19724,2155,26,Python,MIT,2026-07-07T17:40:24.544414+00:00
mem0ai/mem0,mem0,mem0ai,mem0ai/mem0,https://github.com/mem0ai/mem0,https://mem0.ai,F.38,library,unclear,79.9,60317,6999,497,Python,Apache-2.0,2026-07-07T17:40:42.641803+00:00
FlowiseAI/Flowise,Flowise,FlowiseAI,FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,https://flowiseai.com,F.38,library,unclear,79.9,54385,24665,979,TypeScript,NOASSERTION,2026-07-07T18:41:17.604861+00:00
openai/openai-agents-python,openai-agents-python,openai,openai/openai-agents-python,https://github.com/openai/openai-agents-python,https://openai.github.io/openai-agents-python/,J.81,framework,unclear,79.9,27709,4268,65,Python,MIT,2026-07-07T16:40:18.539948+00:00
modelcontextprotocol/python-sdk,python-sdk,modelcontextprotocol,modelcontextprotocol/python-sdk,https://github.com/modelcontextprotocol/python-sdk,https://py.sdk.modelcontextprotocol.io/,J.81,framework,unclear,79.7,23552,3616,529,Python,MIT,2026-07-07T16:39:30.563593+00:00
anthropics/claude-code,claude-code,anthropics,anthropics/claude-code,https://github.com/anthropics/claude-code,https://code.claude.com/docs/en/overview,C.13,application,unclear,79.5,136682,21965,10287,Python,,2026-07-07T16:40:12.715036+00:00
modelcontextprotocol/servers,servers,modelcontextprotocol,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,https://modelcontextprotocol.io,J.81,framework,unclear,79.4,88158,11173,643,TypeScript,NOASSERTION,2026-07-07T16:39:54.636176+00:00
modelcontextprotocol/inspector,inspector,modelcontextprotocol,modelcontextprotocol/inspector,https://github.com/modelcontextprotocol/inspector,https://modelcontextprotocol.io,H.55,framework,unclear,78.5,10300,1397,316,TypeScript,NOASSERTION,2026-07-07T16:40:06.683008+00:00
confident-ai/deepeval,deepeval,confident-ai,confident-ai/deepeval,https://github.com/confident-ai/deepeval,https://deepeval.com,H.55,evaluation framework,unclear,78.5,16705,1625,351,Python,Apache-2.0,2026-07-07T18:40:05.434907+00:00
modelcontextprotocol/registry,registry,modelcontextprotocol,modelcontextprotocol/registry,https://github.com/modelcontextprotocol/registry,https://github.com/modelcontextprotocol/registry/tree/main/docs,D.20,framework,unclear,77.9,6994,894,133,Go,NOASSERTION,2026-07-07T16:40:00.774333+00:00
modelcontextprotocol/typescript-sdk,typescript-sdk,modelcontextprotocol,modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk,https://ts.sdk.modelcontextprotocol.io/v2,J.81,framework,unclear,76.8,12812,1962,443,TypeScript,NOASSERTION,2026-07-07T16:39:36.582725+00:00
pytorch/executorch,executorch,pytorch,pytorch/executorch,https://github.com/pytorch/executorch,https://executorch.ai,I.66,template,unclear,75.1,4788,1066,1327,Python,NOASSERTION,2026-07-07T18:40:23.449722+00:00
khoj-ai/khoj,khoj,khoj-ai,khoj-ai/khoj,https://github.com/khoj-ai/khoj,https://khoj.dev,F.38,library,unclear,74.9,35517,2290,116,Python,AGPL-3.0,2026-07-07T18:41:05.577381+00:00
modelcontextprotocol/modelcontextprotocol,modelcontextprotocol,modelcontextprotocol,modelcontextprotocol/modelcontextprotocol,https://github.com/modelcontextprotocol/modelcontextprotocol,https://modelcontextprotocol.io,J.81,framework,unclear,74.9,8550,1644,162,TypeScript,NOASSERTION,2026-07-07T16:39:26.288292+00:00
modelcontextprotocol/kotlin-sdk,kotlin-sdk,modelcontextprotocol,modelcontextprotocol/kotlin-sdk,https://github.com/modelcontextprotocol/kotlin-sdk,https://modelcontextprotocol.github.io/kotlin-sdk/,J.81,template,unclear,74.8,1405,224,74,Kotlin,NOASSERTION,2026-07-07T16:39:48.651081+00:00
Helicone/helicone,helicone,Helicone,Helicone/helicone,https://github.com/Helicone/helicone,https://www.helicone.ai,H.53,observability platform,unclear,74.1,5916,622,123,TypeScript,Apache-2.0,2026-07-07T18:40:35.478056+00:00
affaan-m/ECC,ECC,affaan-m,affaan-m/ECC,https://github.com/affaan-m/ECC,,H.57,framework,community,74.0,226947,34700,0,JavaScript,,2026-07-07T18:45:29.195112+00:00
farion1231/cc-switch,cc-switch,farion1231,farion1231/cc-switch,https://github.com/farion1231/cc-switch,,E.29,framework,community,73.4,114343,7634,0,Rust,,2026-07-07T18:45:29.195112+00:00
lobehub/lobehub,lobehub,lobehub,lobehub/lobehub,https://github.com/lobehub/lobehub,,E.29,framework,community,73.3,79579,15561,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
D4Vinci/Scrapling,Scrapling,D4Vinci,D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,,D.20,MCP server,community,73.0,68527,6786,0,Python,,2026-07-07T18:45:29.195112+00:00
koala73/worldmonitor,worldmonitor,koala73,koala73/worldmonitor,https://github.com/koala73/worldmonitor,,D.20,MCP server,community,73.0,61514,9574,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
sansan0/TrendRadar,TrendRadar,sansan0,sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,,D.20,MCP server,community,73.0,60331,24759,0,Python,,2026-07-07T18:45:29.195112+00:00
ruvnet/ruflo,ruflo,ruvnet,ruvnet/ruflo,https://github.com/ruvnet/ruflo,,D.20,MCP server,community,72.9,63413,7465,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
zhayujie/CowAgent,CowAgent,zhayujie,zhayujie/CowAgent,https://github.com/zhayujie/CowAgent,,B.9,framework,community,72.8,45850,10258,0,Python,,2026-07-07T18:45:29.195112+00:00
danny-avila/LibreChat,LibreChat,danny-avila,danny-avila/LibreChat,https://github.com/danny-avila/LibreChat,,E.29,framework,community,72.6,40403,8277,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
Panniantong/Agent-Reach,Agent-Reach,Panniantong,Panniantong/Agent-Reach,https://github.com/Panniantong/Agent-Reach,,J.75,framework,community,72.5,52556,4221,0,Python,,2026-07-07T18:45:29.195112+00:00
Snailclimb/JavaGuide,JavaGuide,Snailclimb,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,,E.29,framework,community,72.5,156863,46163,0,JavaScript,,2026-07-07T18:45:29.195112+00:00
AstrBotDevs/AstrBot,AstrBot,AstrBotDevs,AstrBotDevs/AstrBot,https://github.com/AstrBotDevs/AstrBot,,C.15,framework,community,72.4,35960,2492,0,Python,,2026-07-07T18:45:29.195112+00:00
wshobson/agents,agents,wshobson,wshobson/agents,https://github.com/wshobson/agents,,B.9,framework,community,72.2,37637,4037,0,Python,,2026-07-07T18:45:29.195112+00:00
